id,code,name
5456,LAW 30174 01,Advanced Lowenstein International Human Rights Clinic
5457,LAW 30175 01,Media Freedom and Information Access Clinic
5458,LAW 30176 01,Advanced Media Freedom and Information Access Clinic
5459,LAW 30178 01,Local Government in Action: San Francisco Affirmative Litigation Project
5460,LAW 30179 01,Advanced San Francisco Affirmative Litigation Project
5461,LAW 30180 01,Supreme Court Advocacy Clinic
5462,LAW 30181 01,Advanced Supreme Court Advocacy Clinic
5463,LAW 30186 01,Health Justice Practicum
5463,EMD 588 01,Health Justice Practicum
5463,SBS 588 01,Health Justice Practicum
5464,LAW 30193 01,Prosecution Externship and Instruction
5465,LAW 30194 01,Legal Assistance: Immigrant Rights Clinic: Seminar
5466,LAW 30195 01,Legal Assistance: Immigrant Rights Clinic: Fieldwork
5467,LAW 30199 01,Trial Practice
5468,LAW 30200 01,Advanced Appellate Litigation Project
5469,LAW 30201 01,Legal Assistance: Reentry Clinic
5470,LAW 30202 01,Advanced Legal Assistance: Reentry Clinic: Fieldwork
5471,LAW 30203 01,Advanced Legal Assistance: Immigrant Rights Clinic Fieldwork
5472,LAW 30219 01,Anatomy of a Merger
5473,LAW 30223 01,Advanced Issues in Capital Markets: The IPO
5473,MGT 662 01,Advanced Issues in Capital Markets: The IPO
5474,LAW 30226 01,Reproductive Rights and Justice Project: Seminar
5475,LAW 30229 01,Reproductive Rights and Justice Project: Fieldwork
5476,LAW 30230 01,Advanced Reproductive Rights and Justice Project: Seminar
5477,LAW 30231 01,Advanced Reproductive Rights and Justice Project: Fieldwork
5478,LAW 30234 01,Entrepreneurship and Innovation Clinic: Seminar
5479,LAW 30236 01,Entrepreneurship and Innovation Clinic: Fieldwork
5480,LAW 30237 01,Advanced Entrepreneurship and Innovation Clinic: Seminar
5481,LAW 30238 01,Advanced Entrepreneurship and Innovation Clinic: Fieldwork
5482,LAW 30239 01,Negotiating and Drafting Secured Transactions
5482,MGT 689 01,Negotiating and Drafting Secured Transactions
5483,LAW 30241 01,"Climate, Animals, Food, and Environment Law and Policy Lab"
5483,ENV 990 01,"Climate, Animals, Food, and Environment Law and Policy Lab"
5484,LAW 30242 01,"Advanced Climate, Animals, Food, and Environment Law and Policy Lab"
5484,ENV 991 01,"Advanced Climate, Animals, Food, and Environment Law and Policy Lab"
5485,LAW 30245 01,Strategic Advocacy Clinic
5486,LAW 30246 01,"Policing, Law, and Policy Clinic"
5487,LAW 30248 01,Advanced Strategic Advocacy Clinic
5488,LAW 30249 01,"AdvPolicing,Law,  PolicyClinic: AdvPolicing,Law, Policy Clinic"
5489,LAW 30253 01,Private Law Clinic
5490,LAW 30255 01,Mental Health Justice Clinic
5491,LAW 30256 01,Mental Health Justice Clinic: Fieldwork
5493,LING 106 01,Illusions of Language: Linguistics in the Real World
5494,LING 107 01,Linguistic Diversity & Endangerment
5494,ER&M 207 01,Linguistic Diversity & Endangerment
5496,LING 112 01,Historical Linguistics
5496,LING 512 01,Historical Linguistics
5497,LING 116 01,Cognitive Science of Language
5497,CGSC 216 01,Cognitive Science of Language
5497,PSYC 116 01,Cognitive Science of Language
5500,LING 211 01,Grammatical Diversity in U.S. English
5501,LING 227 01,Language and Computation I
5501,LING 627 01,Language and Computation I
5501,PSYC 327 01,Language and Computation I
5502,LING 231 01,Neurolinguistics
5502,LING 631 01,Neurolinguistics
5502,PSYC 331 01,Neurolinguistics
5503,LING 232 01,Phonology I
5503,LING 632 01,Phonology I
5504,LING 239 01,Phonetics II: Speech Production and Perception
5504,LING 639 01,Phonetics II: Speech Production and Perception
5504,CGSC 239 01,Phonetics II: Speech Production and Perception
5504,PSYC 239 01,Phonetics II: Speech Production and Perception
5505,LING 241 01,Field Methods
5505,LING 641 01,Field Methods
5506,LING 254 01,Syntax II
5506,LING 654 01,Syntax II
5507,LING 264 01,Semantics II
5507,LING 664 01,Semantics II
5508,LING 328 01,Laboratory Phonology
5508,LING 728 01,Laboratory Phonology
5509,LING 375 01,Linguistic Meaning and Conceptual Structure
5509,LING 875 01,Linguistic Meaning and Conceptual Structure
